track_id,genre,artist_name,track_name,popularity,acousticness,danceability,energy,instrumentalness,liveness,speechiness,valence
6MJUCumnQsQEKbCy28tbCP,"Hip-Hop, Pop",Daddy Yankee,Adictiva,91,0.29100000000000004,0.7879999999999999,0.7709999999999999,5.62e-05,0.172,0.0563,0.701
2TIlqbIneP0ZY1O0EzYLlc,Pop,Lewis Capaldi,Someone You Loved,91,0.7509999999999999,0.501,0.405,0.0,0.105,0.0319,0.446
44ShclXTOOnYtt5CnCDeGV,Rap,Juice WRLD,Robbery,91,0.342,0.708,0.691,0.0,0.222,0.0442,0.535
0e7ipj03S05BNilyu5bRzt,"Rap, Pop",Post Malone,rockstar (feat. 21 Savage),91,0.117,0.5870000000000001,0.535,6.56e-05,0.131,0.0898,0.14
5Il6Oe7lr5XM7A0cWbVQtr,"Dance, Pop",Ariana Grande,bad idea,91,0.0268,0.847,0.579,0.0545,0.102,0.0719,0.569
63cd4JkwGgYJrbOizbfmsp,"Hip-Hop, Rap, Pop",Mustard,Pure Water (with Migos),91,0.172,0.68,0.5589999999999999,0.0,0.318,0.129,0.13699999999999998
2hloaUoRonYssMuqLCBLTX,"Dance, Pop",Ariana Grande,bloodline,91,0.0815,0.758,0.665,0.000157,0.21600000000000005,0.0774,0.643
0d2iYfpKoM0QCKvcLCkBao,"Dance, Pop",benny blanco,Eastside (with Halsey & Khalid),91,0.555,0.56,0.68,0.0,0.116,0.321,0.319
059bcIhyc2SBwm6sw2AZzd,Pop,Piso 21,Te Vi,91,0.0446,0.877,0.777,3.46e-05,0.0863,0.117,0.706
3Ol2xnObFdKV9pmRD2t9x8,Rap,A Boogie Wit da Hoodie,Look Back At It,91,0.407,0.7909999999999999,0.5870000000000001,0.0,0.14800000000000002,0.0413,0.536
1wJRveJZLSb1rjhnUHQiv6,Rap,A Boogie Wit da Hoodie,Swervin (feat. 6ix9ine),91,0.0153,0.581,0.662,0.0,0.111,0.303,0.434
4uTvPEr01pjTbZgl7jcKBD,"Dance, Pop",Ariana Grande,NASA,91,0.451,0.747,0.458,0.0,0.252,0.303,0.47
4y3OI86AEP6PQoDE6olYhO,"Dance, Pop",Jonas Brothers,Sucker,91,0.0436,0.846,0.731,0.0,0.0949,0.064,0.933
11cDEev79fPKi6uJCjUhu8,"Dance, Pop",The Chainsmokers,Who Do You Love (with 5 Seconds of Summer),91,0.007909999999999999,0.51,0.835,0.0,0.219,0.0447,0.435
0PG9fbaaHFHfre2gUVo7AN,"Rap, Pop",Cardi B,Please Me,91,0.0642,0.747,0.57,0.0,0.0832,0.081,0.65
3wFLWP0FcIqHK1wb1CPthQ,"Dance, Pop",Ariana Grande,fake smile,90,0.329,0.45,0.619,0.0,0.319,0.3720000000000001,0.4270000000000001
